Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Views,Likes,Comments,Stream,EnergyLiveness,Album_type_compilation,Album_type_single,Licensed_False,Licensed_True,official_video_False,official_video_True,most_playedon_Youtube,Artist,Track,Album,Channel,Cluster
0.7,0.742,-6.777,0.0716,0.0722,0.0199,0.11,0.197,91.959,5.033333333333333,Red Hot Chili Peppers - Dark Necessities [Official Music Video],440037964.0,2094182.0,56516.0,385677873.0,6.745454545454545,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1549.0,3503.0,10015.0,4309.0,3
0.902,0.72,-2.776,0.347,0.26,0.0,0.0749,0.805,90.059,3.22445,50 Cent - In Da Club (Official Music Video),1682616458.0,10481678.0,296745.0,1041736808.0,9.612817089452603,0.0,0.0,0.0,1.0,0.0,1.0,1.0,15.0,7147.0,3987.0,65.0,3
0.614,0.574,-7.961,0.466,0.0253,3.2e-05,0.38,0.755,125.173,3.485116666666667,50 Cent - Candy Shop (Official Music Video) ft. Olivia,838974650.0,5014527.0,113251.0,701248893.0,1.5105263157894735,0.0,0.0,0.0,1.0,0.0,1.0,1.0,15.0,2564.0,10128.0,65.0,1
0.489,0.692,-6.672,0.41,0.0322,0.00608,0.315,0.527,96.946,3.961783333333333,50 Cent - Just A Lil Bit,476133463.0,2523312.0,42075.0,395155110.0,2.196825396825397,0.0,0.0,0.0,1.0,0.0,1.0,1.0,15.0,7571.0,10128.0,65.0,0
0.7,0.758,-3.012,0.342,0.0444,1.3e-05,0.0401,0.889,78.693,4.157783333333334,"50 Cent - P.I.M.P. (Snoop Dogg Remix) ft. Snoop Dogg, G-Unit",572659065.0,3334710.0,60552.0,541728561.0,18.90274314214464,0.0,0.0,0.0,1.0,0.0,1.0,1.0,15.0,11142.0,3987.0,65.0,0
0.653,0.826,-2.93,0.354,0.0153,0.00146,0.131,0.416,108.52,4.27045,50 Cent - Many Men (Wish Death) (Dirty Version),441155628.0,2765887.0,84117.0,332175400.0,6.305343511450381,0.0,0.0,0.0,1.0,0.0,1.0,1.0,15.0,9259.0,3987.0,65.0,0
0.925,0.659,-4.763,0.231,0.206,7.88e-05,0.279,0.71,97.018,3.57045,50 Cent - Disco Inferno (Official Music Video),39825951.0,382791.0,12038.0,202477187.0,2.3620071684587813,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0,3875.0,10128.0,65.0,3
0.576,0.807,-3.908,0.317,0.353,0.000363,0.0512,0.908,90.012,3.74045,50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg,503248572.0,2759199.0,54805.0,446003044.0,15.76171875,0.0,0.0,0.0,1.0,0.0,1.0,1.0,15.0,166.0,3987.0,65.0,1
0.853,0.776,-4.221,0.261,0.0714,0.0,0.181,0.659,94.028,3.53355,"Eminem, 50 Cent - Is This Love ('09) [Visualizer]",5289821.0,245935.0,9008.0,28529840.0,4.287292817679559,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0,7300.0,2395.0,1581.0,3
0.892,0.631,-2.522,0.302,0.244,0.0,0.0235,0.838,93.975,3.277333333333333,50 Cent - If I Can't (Official Music Video),46096.0,612.0,14.0,210473579.0,26.851063829787236,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,7042.0,3987.0,5608.0,3
0.545,0.64,-3.529,0.308,0.368,0.0,0.111,0.574,181.733,4.24155,50 Cent-Best Friend(Remix),291023.0,5729.0,46.0,160037992.0,5.7657657657657655,0.0,1.0,1.0,0.0,1.0,0.0,0.0,15.0,1816.0,1369.0,2965.0,1
0.566,0.834,-8.412,0.0298,0.00277,0.008,0.0625,0.621,123.296,5.526,Metallica: Enter Sandman (Official Music Video),573553706.0,2828795.0,81335.0,0.0,13.344,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1261.0,4587.0,6415.0,3436.0,3
0.547,0.394,-9.793,0.0262,0.0522,6.4e-06,0.0795,0.17,142.37,6.478883333333333,Metallica: Nothing Else Matters (Official Music Video),1209806093.0,5127599.0,135946.0,0.0,4.955974842767295,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1261.0,10650.0,6415.0,3436.0,0
0.539,0.828,-9.108,0.035,0.00067,0.421,0.154,0.562,105.25,8.589783333333333,Master of Puppets (Remastered),20762910.0,293409.0,1703.0,0.0,5.376623376623376,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1261.0,9315.0,6285.0,3437.0,0
0.511,0.972,-3.751,0.0413,5.36e-06,0.00101,0.19,0.532,132.97,5.08155,Metallica - Whiskey In The Jar (Official Music Video),107553434.0,429797.0,12074.0,327681785.0,5.11578947368421,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1261.0,16753.0,3952.0,5541.0,2
