,,-1,0,1,2,3
Artist,count,20557.0,18.0,5.0,9.0,5.0
Artist,mean,1036.0402296054872,947.1666666666666,778.2,1056.7777777777778,1213.0
Artist,std,598.5505841585666,525.5666130053186,173.41770382518618,269.19174289796564,41.55117326863346
Artist,min,0.0,294.0,561.0,672.0,1167.0
Artist,25%,517.0,508.25,661.0,895.0,1168.0
Artist,50%,1036.0,867.0,804.0,1028.0,1242.0
Artist,75%,1554.0,1433.75,858.0,1209.0,1243.0
Artist,max,2073.0,1801.0,1007.0,1565.0,1245.0
Track,count,20557.0,18.0,5.0,9.0,5.0
Track,mean,8855.419273240259,2966.0,12507.0,4433.0,13088.0
Track,std,5116.510789316705,0.0,0.0,0.0,0.0
Track,min,0.0,2966.0,12507.0,4433.0,13088.0
Track,25%,4433.0,2966.0,12507.0,4433.0,13088.0
Track,50%,8873.0,2966.0,12507.0,4433.0,13088.0
Track,75%,13293.0,2966.0,12507.0,4433.0,13088.0
Track,max,17716.0,2966.0,12507.0,4433.0,13088.0
Album,count,20557.0,18.0,5.0,9.0,5.0
Album,mean,5908.858491024955,2155.0,11372.0,3173.0,8818.0
Album,std,3426.09673967226,0.0,0.0,0.0,0.0
Album,min,0.0,2155.0,11372.0,3173.0,8818.0
Album,25%,2954.0,2155.0,11372.0,3173.0,8818.0
Album,50%,5879.0,2155.0,11372.0,3173.0,8818.0
Album,75%,8913.0,2155.0,11372.0,3173.0,8818.0
Album,max,11853.0,2155.0,11372.0,3173.0,8818.0
Album_type,count,20557.0,18.0,5.0,9.0,5.0
Album_type,mean,0.5187527362942064,2.0,1.0,2.0,2.0
Album_type,std,0.8546321029171298,0.0,0.0,0.0,0.0
Album_type,min,0.0,2.0,1.0,2.0,2.0
Album_type,25%,0.0,2.0,1.0,2.0,2.0
Album_type,50%,0.0,2.0,1.0,2.0,2.0
Album_type,75%,1.0,2.0,1.0,2.0,2.0
Album_type,max,2.0,2.0,1.0,2.0,2.0
Danceability,count,20557.0,18.0,5.0,9.0,5.0
Danceability,mean,0.0014054981571885988,-0.17584159867642193,-1.1667772479273575,-2.079163120103524,-0.2362645041185522
Danceability,std,0.9997910513978981,0.0,0.0,4.710277376051325e-16,0.0
Danceability,min,-3.7468353103063183,-0.17584159867642193,-1.1667772479273575,-2.079163120103524,-0.2362645041185522
Danceability,25%,-0.6108865178597593,-0.17584159867642193,-1.1667772479273575,-2.079163120103524,-0.2362645041185522
Danceability,50%,0.1081460569015904,-0.17584159867642193,-1.1667772479273575,-2.079163120103524,-0.2362645041185522
Danceability,75%,0.7305019829555317,-0.17584159867642193,-1.1667772479273575,-2.079163120103524,-0.2362645041185522
Danceability,max,2.144397970301379,-0.17584159867642193,-1.1667772479273575,-2.079163120103524,-0.2362645041185522
Energy,count,20557.0,18.0,5.0,9.0,5.0
Energy,mean,-0.0003999077878218404,0.6992327266905849,0.8299095595335316,-0.29484460886469394,-1.1722462008101975
Energy,std,1.000440141555562,1.1424100674951067e-16,1.2412670766236366e-16,0.0,0.0
Energy,min,-2.964385622656333,0.6992327266905848,0.8299095595335317,-0.29484460886469394,-1.1722462008101975
Energy,25%,-0.5982015422501072,0.6992327266905848,0.8299095595335317,-0.29484460886469394,-1.1722462008101975
Energy,50%,0.1438561871080584,0.6992327266905848,0.8299095595335317,-0.29484460886469394,-1.1722462008101975
Energy,75%,0.7599041133676675,0.6992327266905848,0.8299095595335317,-0.29484460886469394,-1.1722462008101975
Energy,max,1.7026441217346449,0.6992327266905848,0.8299095595335317,-0.29484460886469394,-1.1722462008101975
Loudness,count,20557.0,18.0,5.0,9.0,5.0
Loudness,mean,9.731015261427814e-05,-0.019344516526110148,-0.28920885128642826,-0.030121846189062114,0.012987472462745741
Loudness,std,1.0009133271144386,3.5700314609222084e-18,0.0,0.0,0.0
Loudness,min,-8.314224064913747,-0.01934451652611015,-0.28920885128642826,-0.030121846189062114,0.012987472462745741
Loudness,25%,-0.2566613157043132,-0.01934451652611015,-0.28920885128642826,-0.030121846189062114,0.012987472462745741
Loudness,50%,0.24642443296228614,-0.01934451652611015,-0.28920885128642826,-0.030121846189062114,0.012987472462745741
Loudness,75%,0.5919456219565273,-0.01934451652611015,-0.28920885128642826,-0.030121846189062114,0.012987472462745741
Loudness,max,1.8533242857084298,-0.01934451652611015,-0.28920885128642826,-0.030121846189062114,0.012987472462745741
Speechiness,count,20557.0,18.0,5.0,9.0,5.0
Speechiness,mean,-0.0006511847138182112,0.5728950160384065,-0.20532355046045558,-0.5262384232434915,1.76741148695304
Speechiness,std,1.000334680296922,2.2848201349902134e-16,0.0,0.0,0.0
Speechiness,min,-0.862307609463504,0.5728950160384065,-0.20532355046045558,-0.5262384232434915,1.76741148695304
Speechiness,25%,-0.5440670272869934,0.5728950160384065,-0.20532355046045558,-0.5262384232434915,1.76741148695304
Speechiness,50%,-0.41124392716290364,0.5728950160384065,-0.20532355046045558,-0.5262384232434915,1.76741148695304
Speechiness,75%,0.06477980079859957,0.5728950160384065,-0.20532355046045558,-0.5262384232434915,1.76741148695304
Speechiness,max,7.7310795395044565,0.5728950160384065,-0.20532355046045558,-0.5262384232434915,1.76741148695304
Acousticness,count,20557.0,18.0,5.0,9.0,5.0
Acousticness,mean,2.2606964684311068e-05,-0.4557368765853054,-0.7692525358711347,1.2219388921682963,0.1174690110721752
Acousticness,std,1.0004327606501493,1.1424100674951067e-16,0.0,0.0,0.0
Acousticness,min,-1.018457290688076,-0.4557368765853054,-0.7692525358711347,1.2219388921682963,0.1174690110721752
